Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales
842:Carnival Games,DS,2008,Misc,Take-Two Interactive,2.03
8442:Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009,Action,Take-Two Interactive,0.17
8467:Sid Meier's Civilization IV,PC,2005,Strategy,Take-Two Interactive,0.16
8551:The BIGS,PS3,2007,Sports,Take-Two Interactive,0.16
8570:Dungeon Siege: Throne of Agony,PSP,2006,Role-Playing,Take-Two Interactive,0.16
8608:Sid Meier's Pirates!,Wii,2010,Strategy,Take-Two Interactive,0.16
8615:NBA 2K12,PC,2011,Sports,Take-Two Interactive,0.16
8629:BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0.16
8666:Amped 3,X360,2005,Sports,Take-Two Interactive,0.16
8713:All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive,0.15
8718:Major League Baseball 2K13,PS3,2013,Sports,Take-Two Interactive,0.15
8739:Major League Baseball 2K11,Wii,2011,Sports,Take-Two Interactive,0.15
877:Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.95
8785:NHL 2K10,PS3,2009,Sports,Take-Two Interactive,0.15
8799:Major League Baseball 2K10,DS,2010,Sports,Take-Two Interactive,0.15
8816:Serious Sam,XB,2002,Shooter,Take-Two Interactive,0.15
8850:Fantastic Four: Rise of the Silver Surfer,PS3,2007,Action,Take-Two Interactive,0.15
8854:Space Station Silicon Valley,N64,1997,Adventure,Take-Two Interactive,0.15
8878:Major League Baseball 2K12,Wii,2012,Sports,Take-Two Interactive,0.15
8886:Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.15
892:BioShock Infinite,X360,2013,Shooter,Take-Two Interactive,1.93
8949:Baseball Blast!,Wii,2009,Sports,Take-Two Interactive,0.15
8959:NHL 2K10,X360,2009,Sports,Take-Two Interactive,0.15
9104:The Da Vinci Code,PS2,2006,Action,Take-Two Interactive,0.14
9111:Top Spin 4,Wii,2011,Sports,Take-Two Interactive,0.14
9120:XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.14
9135:WWE 2K17,PS3,2016,Sports,Take-Two Interactive,0.14
9197:Sid Meier's Pirates!,XB,2005,Strategy,Take-Two Interactive,0.14
9206:College Hoops 2K8,PS3,2007,Sports,Take-Two Interactive,0.14
9211:The Darkness II,PC,2012,Shooter,Take-Two Interactive,0.14
9224:Let's Cheer,X360,2011,Misc,Take-Two Interactive,0.14
923:NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.88
9270:Major League Baseball 2K8,Wii,2008,Sports,Take-Two Interactive,0.14
9275:Nicktoons: MLB,Wii,2011,Sports,Take-Two Interactive,0.14
9342:Nicktoons: MLB,X360,2011,Sports,Take-Two Interactive,0.13
9369:NHL 2K8,X360,2007,Sports,Take-Two Interactive,0.13
9379:NHL 2K9,PS2,2008,Sports,Take-Two Interactive,0.13
93:Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,7.69
9406:NHL 2K9,PS3,2008,Sports,Take-Two Interactive,0.13
9442:The BIGS 2,PS3,2009,Sports,Take-Two Interactive,0.13
945:Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,1.85
9512:Borderlands: Double Game Add-On Pack,X360,2010,Shooter,Take-Two Interactive,0.13
9545:The Stronghold Collection,PC,2009,Strategy,Take-Two Interactive,0.13
9581:City Crisis,PS2,2001,Simulation,Take-Two Interactive,0.13
9589:Torino 2006,PS2,2006,Sports,Take-Two Interactive,0.13
9600:NBA 2K13,WiiU,2012,Sports,Take-Two Interactive,0.13
9632:NBA 2K17,PS3,2016,Sports,Take-Two Interactive,0.13
9672:NHL 2K7,PS3,2006,Sports,Take-Two Interactive,0.12
970:Mafia III,PS4,2016,Action,Take-Two Interactive,1.81
9734:Major League Baseball 2K8 Fantasy All-Stars,DS,2008,Sports,Take-Two Interactive,0.12
976:NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.8
9771:Zathura,PS2,2005,Adventure,Take-Two Interactive,0.12
9834:College Hoops 2K6,X360,2006,Sports,Take-Two Interactive,0.12
9837:Dora the Explorer: Dora Saves the Mermaids,PS2,2008,Platform,Take-Two Interactive,0.12
983:Midnight Club II,PS2,2003,Racing,Take-Two Interactive,1.78
9864:NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.12
